x,order_1,order_2
1360,36.615482724034734,130.9917161781629
1361,36.60579708965729,131.10943090753344
1362,36.59620250348542,131.22735605149492
1363,36.58669920814495,131.3454922408668
1364,36.57728744661176,131.46384010776606
1365,36.56796746221183,131.58240028560718
1366,36.558739498621186,131.70117340910232
1367,36.54960379986592,131.82016011426106
1368,36.540560610322196,131.93936103839073
1369,36.53161017471624,132.05877682009609
1370,36.522752738124375,132.17840809927952
1371,36.51398854597297,132.298255517141
1372,36.505317844038444,132.4183197161779
1373,36.496740878447326,132.53860134018532
1374,36.488257895676185,132.6591010342559
1375,36.47986914255167,132.7798194447798
1376,36.47157486625049,132.90075721944487
1377,36.46337531429943,133.0219150072362
1378,36.45527073457533,133.14329345843686
1379,36.44726137530513,133.2648932246273
1380,36.4393474850658,133.3867149586853
1381,36.4315293127844,133.50875931478663
1382,36.42380710773806,133.63102694840435
1383,36.41618111955395,133.75351851630927
1384,36.40865159820935,133.87623467656942
1385,36.40121879403161,133.99917608855077
1386,36.393882957698075,134.12234341291668
1387,36.38664434023625,134.24573731162815
1388,36.37950319302366,134.36935844794357
1389,36.372459767787895,134.49320748641912
1390,36.36551431660665,134.61728509290845
1391,36.35866709190765,134.74159193456265
1392,36.351918346468686,134.86612867983064
1393,36.34526833341766,134.9908959984586
1394,36.33871730623251,135.11589456149056
1395,36.33226551874125,135.2411250412679
1396,36.325913225121965,135.3665881114297
1397,36.31966067990279,135.49228444691252
1398,36.31350813796197,135.61821472395053
1399,36.30745585452776,135.74437962007542
1400,36.30150408517852,135.87077981411647
1401,36.2956530858427,135.9974159862006
1402,36.28990311279876,136.12428881775213
1403,36.28425442267529,136.25139899149303
1404,36.27870727245089,136.37874719144287
1405,36.27326191945427,136.5063341029188
1406,36.26791862136422,136.63416041253538
1407,36.262677636209524,136.76222680820487
1408,36.25753922236912,136.89053397913713
1409,36.25250363857196,137.01908261583952
1410,36.2475711438971,137.1478734101169
1411,36.24274199777363,137.27690705507166
1412,36.23801645998074,137.40618424510407
1413,36.23339479064767,137.53570567591157
1414,36.22887725025373,137.66547204448935
1415,36.224464099628314,137.79548404913027
1416,36.22015559995085,137.92574238942456
1417,36.21595201275087,138.0562477662601
1418,36.21185359990795,138.18700088182223
1419,36.20786062365176,138.31800243959407
1420,36.203973346562016,138.44925314435613
1421,36.2001920315685,138.58075370218657
1422,36.19651694195109,138.71250482046102
1423,36.19294834133969,138.84450720785273
1424,36.18948649371432,138.97676157433256
1425,36.18613166340504,139.10926863116896
1426,36.18288411509197,139.24202909092767
1427,36.17974411380532,139.3750436674724
1428,36.17671192492538,139.50831307596405
1429,36.17378781418244,139.64183803286141
1430,36.17097204765696,139.77561925592062
1431,36.168264891779394,139.9096574641954
1432,36.16566661333027,140.0439533780372
1433,36.16317747944023,140.17850771909468
1434,36.160797757589926,140.3133212103145
1435,36.15852771561014,140.4483945759407
1436,36.15636762168165,140.58372854151472
1437,36.15431774433537,140.71932383387576
1438,36.15237835245225,140.85518118116053
1439,36.15054971526331,140.99130131280333
1440,36.14883210234962,141.12768495953603
1441,36.14722578364239,141.26433285338794
1442,36.145731029422805,141.40124572768605
1443,36.144348110322184,141.53842431705505
1444,36.14307729732186,141.67586935741673
1445,36.14191886175331,141.81358158599102
1446,36.140873075297996,141.95156174129502
1447,36.13994020998751,142.08981056314352
1448,36.139120538203485,142.2283287926489
1449,36.138414332677634,142.36711717222113
1450,36.13782186649173,142.50617644556752
1451,36.137343413077616,142.64550735769325
1452,36.13697924621719,142.7851106549009
1453,36.13672964004244,142.92498708479067
1454,36.13659486903543,143.0651373962602
1455,36.13657520802826,143.20556233950495
1456,36.13667093220313,143.34626266601754
1457,36.13688231709227,143.48723912858858
1458,36.13720963857803,143.62849248130604
1459,36.13765317289278,143.77002347955542
1460,36.13821319661899,143.91183288001992
1461,36.138889986689186,144.0539214406801
1462,36.13968382038596,144.1962899208143
1463,36.14059497534198,144.3389390809983
1464,36.14162372953997,144.48186968310546
1465,36.14277036131275,144.62508249030682
1466,36.14403514934317,144.76857826707078
1467,36.145418372664174,144.9123577791633
1468,36.146920310658786,145.05642179364827
1469,36.14854124306006,145.20077107888665
1470,36.15028144995114,145.34540640453739
1471,36.152141211765255,145.49032854155664
1472,36.15412080928565,145.63553826219834
1473,36.15622052364571,145.78103634001408
1474,36.158440636328834,145.92682354985266
1475,36.16078142916851,146.07290066786075
1476,36.163243184348296,146.2192684714825
1477,36.16582618440181,146.3659277394596
1478,36.168530712212736,146.51287925183138
1479,36.171357051014844,146.66012378993457
1480,36.17430548439196,146.8076621364036
1481,36.17737629627796,146.95549507517055
1482,36.180569770956836,147.10362339146474
1483,36.1838861930626,147.2520478718135
1484,36.187325847579366,147.40076930404115
1485,36.1908890198413,147.54978847727017
1486,36.19457599553264,147.69910618192034
1487,36.19838706068769,147.84872320970885
1488,36.20232250169082,147.99864035365079
1489,36.20638260527648,148.1488584080585
1490,36.21056765852918,148.29937816854203
1491,36.2148779488835,148.450200432009
1492,36.21931376412408,148.60132599666454
1493,36.223875392385644,148.75275566201154
1494,36.22856312215298,148.9044902288501
1495,36.23337724226092,149.05653049927813
1496,36.23831804189441,149.20887727669108
1497,36.24338581058844,149.36153136578196
1498,36.24858083822806,149.51449357254128
1499,36.25390341504839,149.66776470425708
1500,36.259353831634634,149.82134556951513
1501,36.26493237892204,149.97523697819872
1502,36.27063934819597,150.12943974148848
1503,36.27647503109181,150.28395467186294
1504,36.28243971959502,150.43878258309798
1505,36.28853370604114,150.593924290267
1506,36.29475728311579,150.7493806097413
1507,36.301110743854636,150.90515235918923
1508,36.30759438164342,151.0612403575771
1509,36.314208490217936,151.2176454251687
1510,36.32095336366409,151.37436838352534
1511,36.32782929641782,151.53141005550583
1512,36.33483658326513,151.68877126526667
1513,36.34197551934212,151.8464528382617
1514,36.34924640013494,152.00445560124285
1515,36.3566495214798,152.16278038225894
1516,36.36418517956301,152.32142801065683
1517,36.371853670920906,152.48039931708064
1518,36.379655292439935,152.63969513347234
1519,36.387590341356564,152.79931629307123
1520,36.39565911525738,152.95926363041428
1521,36.40386191207901,153.11953798133607
1522,36.41219903010816,153.28014018296864
1523,36.42067076798158,153.44107107374163
1524,36.429277424686134,153.6023314933823
1525,36.438019299558704,153.7639222829153
1526,36.446896692286266,153.92584428466313
1527,36.455909902905866,154.0880983422456
